id,source_website,source_label,source_url,geo_validation,author,review_date,rating,sentiment,review_text,tier1,tier2,tier3
rvw-000048,bbb.org,BBB Complaints,https://www.bbb.org/us/ga/atlanta/profile/auctioneer/manheim-auctions-0443-6001743/complaints#0443_6001743_24144148,bbb_us_business,BBB complainant,2025-11-13,1,negative,"Sales and Advertising Issues. Business: Manheim REMOVED ( REMOVED Automotive)Address: REMOVED I am the titled owner of a 2025 REMOVED GX 550 (VIN: REMOVED ), confirmed to be in Manheim REMOVED custody. I have not authorized any sale, transfer, or movement of this vehicle. Georgia records show I remain the titled owner.Despite this, Manheim representatives: Refused to provide intake photos, condition reports, or mileage; Refused to identify who delivered or consigned the vehicle; Stated the unit is listed for sale this week, despite having no lawful title transfer; Directed me to the creditor even though the creditor is withholding location and inspection information; Gave inconsistent explanations (cannot disclose to owners, system shutdowns, etc.) that prevented any meaningful inquiry.Why This Is a Problem Manheim will not confirm how the vehicle arrived, who delivered it, when it was checked in, its condition, or whether a sale/transport is scheduled. This creates risk of: Unauthorized sale or conversion of property still titled in my name; Lack of transparency regarding custody and chain-of-possession; Barriers to required GEICO documentation and to law-enforcement review; Inability to document condition while the vehicle is under Manheims control.I have already filed: A Florida HSMV REMOVED complaint, A Broward County Consumer Protection complaint, and A pending Georgia administrative hearing regarding title authority.Desired Resolution I request that Manheim REMOVED :Place an immediate administrative hold on VIN REMOVED ;Provide intake photos, mileage, and condition information;Identify the party who delivered or consigned the vehicle;Confirm in writing that no sale or movement will occur until the title dispute is resolved;Provide a designated point of contact.I am not requesting financial compensation; only to prevent unauthorized disposition and obtain standard documentation.",Customer Service & Communication,Agent Professionalism & Responsiveness,Rude/Unhelpful Support
rvw-000049,bbb.org,BBB Complaints,https://www.bbb.org/us/ga/atlanta/profile/auctioneer/manheim-auctions-0443-6001743/complaints#0443_6001743_24143540,bbb_us_business,BBB complainant,2025-11-13,1,negative,Service or Repair Issues. I bought a 2023 Kia REMOVED LXS REMOVED from manheim REMOVED . my mechanic find the engine has abnormal sound. I arbitrate it and manheim confirm the engine has timing chain problem that is not announced. I also report unannounced damage of right headlight. but the arbitrator denied my arbitration.,"Lot Condition, Listing Status and related",Lot Condition Reporting,Lot Damage
rvw-000050,bbb.org,BBB Complaints,https://www.bbb.org/us/ga/atlanta/profile/auctioneer/manheim-auctions-0443-6001743/complaints#0443_6001743_24133433,bbb_us_business,BBB complainant,2025-11-11,1,negative,"Service or Repair Issues. We purchased a vehicle online on 9-29-2025 from Manheim REMOVED . According to the information provided by Manheim, this vehicle has a 6speed manual transmission. After receiving shipping quotes for transport from REMOVED to REMOVED from an independent source, I observed from the vehicle photos taken by Manheim REMOVED that the car possibly didnt have a 6 speed manual transmission. I called their location and was told it did not have a 6 speed manual transmission. I was not interested in this car equipped with anything but a 6 speed manual transmission and asked to unwind the sale. Condition reports provided by Manheim are the only way to view a vehicle before purchase. Buyers rely on them to provide factual information in order to make an informed purchase decision. When searching for vehicles, buyers are presented with transmission options as follows: REMOVED (automated manual transmission), Automatic, CVT (continuously variable transmission, Manual, and Not Specified The vehicle I purchased has an REMOVED (automated manual transmission) and not a 6 speed Manual transmission as presented. After an initial denial from Manheim NCs arbitration manager based on it being sold as-is, I replied with it having nothing to do with it being sold as-is, but incorrect information provided to me about the car. After a week, the same arbitration manager determined that it did have a manual transmission (it does not) and that the photos showed it was a sequential manual transmission (they do not). After repeated attempts to contact the auction manager about the misinformation, I received a brief reply over a month later siding with his arbitration managers determination without any explanation and was dismissed. I can no longer purchase vehicles from any Manheim auction and would like the deal unwound based on the misinformation provided in their condition report.",Customer Service & Communication,Communication Follow-up & Escalation,No Callback / Unresolved Case
rvw-000051,play.google.com,Google Play (com.manheim.mobile.refresh),https://play.google.com/store/apps/details?id=com.manheim.mobile.refresh&hl=en&gl=us,google_play_us_store,C B,2025-11-04,1,negative,i do not have a user name... on website we use email and a password this app is useless,Customer Service & Communication,Agent Professionalism & Responsiveness,Rude/Unhelpful Support
rvw-000052,apps.apple.com,"Apple App Store (1480842917, us)",https://itunes.apple.com/us/review?id=1480842917&type=Purple%20Software&reviewId=13325541553,apple_us_store,No nickname 557,2025-10-28,1,negative,"Embarrassing. Imagine being a multi billion dollar company and the largest auction in the country but having the worst app in the industry. By far the worst app I have ever used. Nothing works with one click. The back button exist comes right over the bid button and since you have to click on it multiple times it made me buy a car by mistake and they were not willing to reverse the transaction. You can’t even scroll through the run list, it will freeze and glitch. Too many errors of application not being able to authenticate. Missed a few cars bcz I couldn’t log in due to the app error. It will never memorize your user ID. I can go on forever, fix this garbage",Account / Access / Login,Password Reset & Login Troubleshooting,App Login Troubleshooting
rvw-000053,play.google.com,Google Play (com.manheim.mobile.refresh),https://play.google.com/store/apps/details?id=com.manheim.mobile.refresh&hl=en&gl=us,google_play_us_store,Izzy Sheikh,2025-10-27,1,negative,"can't log in what so ever on app, but can log in on website. how does that even happen? tells me it's wrong credentials on app, but easily log in on website lol fix the issue guys.",Account / Access / Login,Password Reset & Login Troubleshooting,App Login Troubleshooting
rvw-000054,bbb.org,BBB Complaints,https://www.bbb.org/us/ga/atlanta/profile/auctioneer/manheim-auctions-0443-6001743/complaints#0443_6001743_24054997,bbb_us_business,BBB complainant,2025-10-23,1,negative,"Service or Repair Issues. I bought a 2025 REMOVED k4 ( REMOVED ) from manheim, the seller didn't dislcose a lot of damages,. including body damage, rear radar damage. ac blow warm, conderser and radiator damage. I file arbitraiton and manheim arbitrator denied it. I got quote for local REMOVED dealer, which show price of $3081.33. this is only part of repair cost for ac issues. I can't believe the arbitrator denied my claim. I lost trust of manheim arbitration.","Lot Condition, Listing Status and related",Lot Condition Reporting,Lot Damage
rvw-000055,apps.apple.com,"Apple App Store (1480842917, us)",https://itunes.apple.com/us/review?id=1480842917&type=Purple%20Software&reviewId=13295660770,apple_us_store,JR701-,2025-10-21,1,negative,terrible app. can’t even bid on it without there being a 5 second delay and the screen gets stuck,Account / Access / Login,Password Reset & Login Troubleshooting,App Login Troubleshooting
rvw-000056,bbb.org,BBB Complaints,https://www.bbb.org/us/ga/atlanta/profile/auctioneer/manheim-auctions-0443-6001743/complaints?page=2#0443_6001743_24039169,bbb_us_business,BBB complainant,2025-10-20,1,negative,"Service or Repair Issues. I bought a 2025 REMOVED k4 ( REMOVED ) from manheim, the seller didn't dislcose a lot of damages,. including body damage, rear radar damage. ac blow warm, conderser and radiator damage. I file arbitraiton and manheim arbitrator denied it. I got quote for local REMOVED dealer, which show price of $3081.33. this is only part of repair cost for ac issues. I can't believe the arbitrator denied my claim. I lost trust of manheim arbitration.","Lot Condition, Listing Status and related",Lot Condition Reporting,Lot Damage
rvw-000057,bbb.org,BBB Complaints,https://www.bbb.org/us/ga/atlanta/profile/auctioneer/manheim-auctions-0443-6001743/complaints?page=2#0443_6001743_24031402,bbb_us_business,BBB complainant,2025-10-17,1,negative,"Service or Repair Issues. I purchased a vehicle through the auction at Manheim UT. I was a REMOVED of A1 auto sales, authorized to purchase the vehicle. When I paid for the vehicle with a cashiers check from my bank. The dealership removed my role and refused to release the vehicle to me that I paid for! It was a complete scam. I was manipulated and coerced. I filled a police report ,also a claim with my bank to stop the check. Unfortunately the bank cant stop cashiers checks. The police officer Green. This all happened on 10/8. The police ,officer Green informed me to go speak to Manheim on Monday directly to notify what was going on and they should be able to recover my funds. There is no reason why they should keep my funds knowing the about the fraud. I spoke with REMOVED client service supervisor. Who took down all the information , text and correspondence about the scam and she stated she was reporting it to legal and they would be making sure not to cash the check and get it back to me on Monday 10/13. She also informed me she has a meeting that day and was going to notify upper management because they all would be on this meeting call she had that day. I was told she would give me a call. Today is Friday 10/17. I have called multiple times with no response. I finally went up there and her entire mood was very concerning. She advised me there is nothing she can do and she is sorry but she cant communicate with me about anything. This is really ridiculous because she gave me false hope and promises. She completely mislead me and now I am out thousands of dollars for a car I paid for and havent received. This is unethical business practice. I want a full refund of my check, they obviously still have the car in their possession which I cannot get. The check was made out to Manheim REMOVED automotive. So there are responsible as well as the company that scammed. My bank told me they have deposited the check like they are trying to cash it. Although REMOVED told me differently.",Customer Service & Communication,Support Access & Response Time,Delayed Email/Phone Response
rvw-000058,apps.apple.com,"Apple App Store (1480842917, us)",https://itunes.apple.com/us/review?id=1480842917&type=Purple%20Software&reviewId=13278348764,apple_us_store,Victor kha,2025-10-17,1,negative,Stone Age. Very bad application always a problem you spend some dam money and create an app that works all the time not whenever feels like it.,Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",Fees
rvw-000059,bbb.org,BBB Complaints,https://www.bbb.org/us/ga/atlanta/profile/auctioneer/manheim-auctions-0443-6001743/complaints?page=2#0443_6001743_24015262,bbb_us_business,BBB complainant,2025-10-14,1,negative,"Service or Repair Issues. Dear Better Business Bureau,I am writing to file a formal complaint against Manheim auto auction regarding a serious misrepresentation of a vehicles condition during an auction purchase.On September 26, 2025, we purchased a 2022 REMOVED RAV4 (VIN: REMOVED ) through the auction. The CR (Condition Report) provided by the auction rated the vehicle at 3.9 out of 5, which suggests an average, clean vehicle condition.However, upon the vehicles arrival at our dealership, our inspection revealed several major issues that were not disclosed in the auction report:The front bumper reinforcement had been hit, causing structural damage.The entire rear liftgate (trunk door) was deformed and non-repairable.The vehicle had been completely repainted, and the paint quality was extremely poor.Following the discovery, we opened an Arbitration case with the auction and complied with all their requests, including sending the vehicle back for re-inspection. About a week later, the auction informed us that their inspection found no structural damage and claimed that the rear door repair cost was less than $800, then closed the case without resolution.We strongly disagree with this conclusion. The damage is clearly beyond cosmetic and directly affects the vehicles structure and value. The auctions condition report and post-arbitration handling were both misleading and unprofessional, resulting in significant financial loss and inconvenience to our business.We respectfully request the BBB to review this matter and assist us in reaching a fair resolution ideally a full refund or buyback of the vehicle due to the auctions misrepresentation and failure to properly address our arbitration claim.Thank you for your time and assistance.",Customer Service & Communication,Agent Professionalism & Responsiveness,Rude/Unhelpful Support
rvw-000060,bbb.org,BBB Complaints,https://www.bbb.org/us/ga/atlanta/profile/auctioneer/manheim-auctions-0443-6001743/complaints?page=2#0443_6001743_24014593,bbb_us_business,BBB complainant,2025-10-14,1,negative,"Service or Repair Issues. My car was brought to Manheim Dallas as part of the repossession process. When I initially when to retrieve my vehicle, it was inoperable. REMOVED contacted me to arrange a repair and pick up. The ""repair"" was actually a downgrade to my car. They not only left a gapping hole in my dash where they removed the after market push start, they also downgraded my keys to just the turn kind, no buttons, well below factory standard. Because my ""new keys"" manually unlock, they removed the external driver side key cover. I was promised by REMOVED that they would at the very least send me a replacement cover but I have since been sent to voicemail and ignored. I would like what I was promised. The guarantee to replace my key home cover occurred on September 12th",Customer Service & Communication,Agent Professionalism & Responsiveness,Rude/Unhelpful Support
rvw-000061,bbb.org,BBB Complaints,https://www.bbb.org/us/ga/atlanta/profile/auctioneer/manheim-auctions-0443-6001743/complaints?page=2#0443_6001743_24001142,bbb_us_business,BBB complainant,2025-10-10,1,negative,"Service or Repair Issues. The vehicle was sold with undisclosed major issues (low oil, coolant leak, safety faults), all omitted from the Condition Report. Arbitration was improperly denied despite Manheims inspection confirming the issues.","Lot Condition, Listing Status and related",Third-Party Inspection Authorization & Scheduling,Previewing/ Inspecting Vehicles
rvw-000062,bbb.org,BBB Complaints,https://www.bbb.org/us/ga/atlanta/profile/auctioneer/manheim-auctions-0443-6001743/complaints?page=2#0443_6001743_23995312,bbb_us_business,BBB complainant,2025-10-09,1,negative,"Service or Repair Issues. Our company purchased a 2015 REMOVED vehicle through Manheims online auction platform. We relied on the information and grading provided in the listing, which showed a grade of 4 out of 5 and did not mention any structural issues or underbody rust. The vehicle was listed as Green Light, which indicates that it should be free from major problems.After the purchase, upon physical inspection the next day, we discovered that the entire undercarriage of the vehicle was heavily rusted, suggesting that the car may have been previously exposed to water or flooding. This serious condition was not disclosed in the auction report or inspection notes.We immediately filed an arbitration request and paid the additional arbitration fee through the proper process. However, to our surprise, our request to cancel or return the vehicle was denied without a clear explanation. We made multiple calls to Manheim representatives, but no one took responsibility or provided a resolution. Eventually, we visited the auction location in person, yet the issue remained unresolved.We are requesting BBBs assistance to help us obtain a fair resolution, as this vehicle was misrepresented and sold under inaccurate grading and condition details.",Customer Service & Communication,Case Resolution Quality,Issue Not Resolved
rvw-000063,apps.apple.com,"Apple App Store (1480842917, us)",https://itunes.apple.com/us/review?id=1480842917&type=Purple%20Software&reviewId=13240947506,apple_us_store,Mcadeu,2025-10-08,1,negative,Useless. Glitchy and freezes all the time on the new iOS needs better optimization,Account / Access / Login,Password Reset & Login Troubleshooting,App Login Troubleshooting
